Date,USD Rate,SGD Rate
12/3/2017 Sunday,1,1.34815
12/4/2017 Monday,1,1.34733
12/5/2017 Tuesday,1,1.34746
12/6/2017 Wednesday,1,1.34906
12/7/2017 Thursday,1,1.35107
12/8/2017 Friday,1,1.35111
12/10/2017 Sunday,1,1.3522
12/11/2017 Monday,1,1.35149
12/12/2017 Tuesday,1,1.35263
12/13/2017 Wednesday,1,1.34769
12/14/2017 Thursday,1,1.34624
12/15/2017 Friday,1,1.34851
12/17/2017 Sunday,1,1.34895
12/18/2017 Monday,1,1.34768
12/19/2017 Tuesday,1,1.34666
12/20/2017 Wednesday,1,1.34391
12/21/2017 Thursday,1,1.3443
12/22/2017 Friday,1,1.34392
12/24/2017 Sunday,1,1.34402
12/25/2017 Monday,1,1.34461
12/26/2017 Tuesday,1,1.34373
12/27/2017 Wednesday,1,1.33984
12/28/2017 Thursday,1,1.33781
12/29/2017 Friday,1,1.33458
1/1/2018 Monday,1,1.33759
1/2/2018 Tuesday,1,1.32952
1/3/2018 Wednesday,1,1.32979
1/4/2018 Thursday,1,1.32752
1/5/2018 Friday,1,1.32637
1/7/2018 Sunday,1,1.32633
1/8/2018 Monday,1,1.33269
1/9/2018 Tuesday,1,1.3356
1/10/2018 Wednesday,1,1.33427
1/11/2018 Thursday,1,1.32891
1/12/2018 Friday,1,1.32209
1/14/2018 Sunday,1,1.32502
1/15/2018 Monday,1,1.32246
1/16/2018 Tuesday,1,1.32109
1/17/2018 Wednesday,1,1.3274
1/18/2018 Thursday,1,1.32067
1/19/2018 Friday,1,1.3209
1/21/2018 Sunday,1,1.32007
1/22/2018 Monday,1,1.31905
1/23/2018 Tuesday,1,1.31748
1/24/2018 Wednesday,1,1.30819
1/25/2018 Thursday,1,1.31196
1/26/2018 Friday,1,1.30764
1/28/2018 Sunday,1,1.30776
1/29/2018 Monday,1,1.31054
1/30/2018 Tuesday,1,1.31174
1/31/2018 Wednesday,1,1.31178
2/1/2018 Thursday,1,1.30847
2/2/2018 Friday,1,1.31952
2/4/2018 Sunday,1,1.32141
2/5/2018 Monday,1,1.32164
2/6/2018 Tuesday,1,1.3185
2/7/2018 Wednesday,1,1.3259
2/8/2018 Thursday,1,1.33247
2/9/2018 Friday,1,1.33018
2/11/2018 Sunday,1,1.32794
2/12/2018 Monday,1,1.32311
2/13/2018 Tuesday,1,1.32323
2/14/2018 Wednesday,1,1.31465
2/15/2018 Thursday,1,1.30896
2/16/2018 Friday,1,1.31207
2/18/2018 Sunday,1,1.31143
2/19/2018 Monday,1,1.31327
2/20/2018 Tuesday,1,1.31941
2/21/2018 Wednesday,1,1.32462
2/22/2018 Thursday,1,1.31878
2/23/2018 Friday,1,1.31987
2/25/2018 Sunday,1,1.3202
2/26/2018 Monday,1,1.31571
2/27/2018 Tuesday,1,1.3239
2/28/2018 Wednesday,1,1.32491
3/1/2018 Thursday,1,1.32257
3/2/2018 Friday,1,1.32001
3/4/2018 Sunday,1,1.31839
3/5/2018 Monday,1,1.31828
3/6/2018 Tuesday,1,1.31632
3/7/2018 Wednesday,1,1.31472
3/8/2018 Thursday,1,1.31733
3/9/2018 Friday,1,1.31759
3/11/2018 Sunday,1,1.3158
3/12/2018 Monday,1,1.3128
3/13/2018 Tuesday,1,1.31176
3/14/2018 Wednesday,1,1.30938
3/15/2018 Thursday,1,1.31376
3/16/2018 Friday,1,1.31753
3/18/2018 Sunday,1,1.31841
3/19/2018 Monday,1,1.31696
3/20/2018 Tuesday,1,1.31907
3/21/2018 Wednesday,1,1.31281
3/22/2018 Thursday,1,1.31692
3/23/2018 Friday,1,1.3155
3/25/2018 Sunday,1,1.31446
3/26/2018 Monday,1,1.30886
3/27/2018 Tuesday,1,1.31028
3/28/2018 Wednesday,1,1.31221
3/29/2018 Thursday,1,1.31176
3/30/2018 Friday,1,1.31041
4/1/2018 Sunday,1,1.31113
4/2/2018 Monday,1,1.31207
4/3/2018 Tuesday,1,1.31304
4/4/2018 Wednesday,1,1.31222
4/5/2018 Thursday,1,1.31605
4/6/2018 Friday,1,1.31519
4/8/2018 Sunday,1,1.31579
4/9/2018 Monday,1,1.31162
4/10/2018 Tuesday,1,1.30931
4/11/2018 Wednesday,1,1.30889
4/12/2018 Thursday,1,1.31205
4/13/2018 Friday,1,1.31219
4/15/2018 Sunday,1,1.31191
4/16/2018 Monday,1,1.31039
4/17/2018 Tuesday,1,1.31137
4/18/2018 Wednesday,1,1.31009
4/19/2018 Thursday,1,1.31136
4/20/2018 Friday,1,1.31648
4/22/2018 Sunday,1,1.31642
4/23/2018 Monday,1,1.32492
4/24/2018 Tuesday,1,1.32218
4/25/2018 Wednesday,1,1.32854
4/26/2018 Thursday,1,1.32738
4/27/2018 Friday,1,1.32361
4/29/2018 Sunday,1,1.32429
4/30/2018 Monday,1,1.32587
5/1/2018 Tuesday,1,1.33335
5/2/2018 Wednesday,1,1.3359
5/3/2018 Thursday,1,1.33065
5/4/2018 Friday,1,1.33383
5/6/2018 Sunday,1,1.33309
5/7/2018 Monday,1,1.33602
5/8/2018 Tuesday,1,1.34012
5/9/2018 Wednesday,1,1.34582
5/10/2018 Thursday,1,1.3375
5/11/2018 Friday,1,1.33654
5/13/2018 Sunday,1,1.33505
5/14/2018 Monday,1,1.33593
5/15/2018 Tuesday,1,1.3446
5/16/2018 Wednesday,1,1.34021
5/17/2018 Thursday,1,1.34247
5/18/2018 Friday,1,1.34287
5/20/2018 Sunday,1,1.3424
5/21/2018 Monday,1,1.33988
5/22/2018 Tuesday,1,1.33902
5/23/2018 Wednesday,1,1.34322
5/24/2018 Thursday,1,1.33963
5/25/2018 Friday,1,1.34222
5/27/2018 Sunday,1,1.34178
5/28/2018 Monday,1,1.343
5/29/2018 Tuesday,1,1.34591
5/30/2018 Wednesday,1,1.33903
